Datetime,streamflow
1933-08-01,-999.0
1933-09-01,183.0
1933-10-01,209.0
1933-11-01,285.0
1933-12-01,309.0
1934-01-01,356.0
1934-02-01,279.0
1934-03-01,300.0
1934-04-01,253.0
1934-05-01,240.0
1934-06-01,207.0
1934-07-01,207.0
1934-08-01,199.0
1934-09-01,196.0
1934-10-01,175.0
1934-11-01,224.0
1934-12-01,252.0
1935-01-01,287.0
1935-02-01,336.0
1935-03-01,309.0
1935-04-01,316.0
1935-05-01,267.0
1935-06-01,-999.0
1935-07-01,-999.0
1935-08-01,-999.0
1935-09-01,181.0
1935-10-01,183.0
1935-11-01,201.0
1935-12-01,275.0
1936-01-01,273.0
1936-02-01,374.0
1936-03-01,389.0
1936-04-01,293.0
1936-05-01,269.0
1936-06-01,211.0
1936-07-01,201.0
1936-08-01,190.0
1936-09-01,179.0
1936-10-01,183.0
1936-11-01,235.0
1936-12-01,301.0
1937-01-01,277.0
1937-02-01,408.0
1937-03-01,315.0
1937-04-01,303.0
1937-05-01,276.0
1937-06-01,214.0
1937-07-01,201.0
1937-08-01,192.0
1937-09-01,182.0
1937-10-01,196.0
1937-11-01,252.0
1937-12-01,321.0
1938-01-01,331.0
1938-02-01,271.0
1938-03-01,301.0
1938-04-01,252.0
1938-05-01,210.0
1938-06-01,196.0
1938-07-01,190.0
1938-08-01,182.0
1938-09-01,176.0
1938-10-01,184.0
1938-11-01,205.0
1938-12-01,274.0
1939-01-01,262.0
1939-02-01,314.0
1939-03-01,227.0
1939-04-01,214.0
1939-05-01,188.0
1939-06-01,179.0
1939-07-01,177.0
1939-08-01,183.0
1939-09-01,183.0
1939-10-01,195.0
1939-11-01,240.0
1939-12-01,250.0
1940-01-01,273.0
1940-02-01,367.0
1940-03-01,462.0
1940-04-01,334.0
1940-05-01,226.0
1940-06-01,208.0
1940-07-01,200.0
1940-08-01,190.0
1940-09-01,184.0
1940-10-01,199.0
1940-11-01,270.0
1940-12-01,292.0
1941-01-01,278.0
1941-02-01,273.0
1941-03-01,366.0
1941-04-01,374.0
1941-05-01,249.0
1941-06-01,220.0
1941-07-01,209.0
1941-08-01,196.0
1941-09-01,190.0
1941-10-01,188.0
1941-11-01,247.0
1941-12-01,229.0
1942-01-01,297.0
1942-02-01,266.0
1942-03-01,292.0
1942-04-01,239.0
1942-05-01,205.0
1942-06-01,191.0
1942-07-01,186.0
1942-08-01,181.0
1942-09-01,186.0
1942-10-01,228.0
1942-11-01,269.0
1942-12-01,381.0
1943-01-01,365.0
1943-02-01,332.0
1943-03-01,355.0
1943-04-01,293.0
1943-05-01,252.0
1943-06-01,217.0
1943-07-01,207.0
1943-08-01,197.0
1943-09-01,189.0
1943-10-01,220.0
1943-11-01,265.0
1943-12-01,361.0
1944-01-01,308.0
1944-02-01,317.0
1944-03-01,290.0
1944-04-01,285.0
1944-05-01,235.0
1944-06-01,210.0
1944-07-01,200.0
1944-08-01,193.0
1944-09-01,184.0
1944-10-01,201.0
1944-11-01,247.0
1944-12-01,325.0
1945-01-01,571.0
1945-02-01,467.0
1945-03-01,413.0
1945-04-01,434.0
1945-05-01,331.0
1945-06-01,280.0
1945-07-01,244.0
1945-08-01,233.0
1945-09-01,219.0
1945-10-01,257.0
1945-11-01,309.0
1945-12-01,380.0
1946-01-01,413.0
1946-02-01,343.0
1946-03-01,319.0
1946-04-01,317.0
1946-05-01,284.0
1946-06-01,245.0
1946-07-01,231.0
1946-08-01,222.0
1946-09-01,211.0
1946-10-01,217.0
1946-11-01,268.0
1946-12-01,310.0
1947-01-01,320.0
1947-02-01,381.0
1947-03-01,397.0
1947-04-01,572.0
1947-05-01,309.0
1947-06-01,267.0
1947-07-01,249.0
1947-08-01,233.0
1947-09-01,227.0
1947-10-01,236.0
1947-11-01,333.0
1947-12-01,442.0
1948-01-01,376.0
1948-02-01,328.0
1948-03-01,362.0
1948-04-01,318.0
1948-05-01,269.0
1948-06-01,245.0
1948-07-01,236.0
1948-08-01,224.0
1948-09-01,220.0
1948-10-01,234.0
1948-11-01,234.0
1948-12-01,454.0
1949-01-01,444.0
1949-02-01,406.0
1949-03-01,357.0
1949-04-01,315.0
1949-05-01,268.0
1949-06-01,245.0
1949-07-01,232.0
1949-08-01,222.0
1949-09-01,212.0
1949-10-01,234.0
1949-11-01,302.0
1949-12-01,359.0
1950-01-01,289.0
1950-02-01,285.0
1950-03-01,324.0
1950-04-01,324.0
1950-05-01,284.0
1950-06-01,234.0
1950-07-01,224.0
1950-08-01,215.0
1950-09-01,207.0
1950-10-01,223.0
1950-11-01,278.0
1950-12-01,294.0
1951-01-01,272.0
1951-02-01,262.0
1951-03-01,274.0
1951-04-01,317.0
1951-05-01,266.0
1951-06-01,230.0
1951-07-01,214.0
1951-08-01,206.0
1951-09-01,196.0
1951-10-01,193.0
1951-11-01,195.0
1951-12-01,257.0
1952-01-01,272.0
1952-02-01,253.0
1952-03-01,332.0
1952-04-01,289.0
1952-05-01,246.0
1952-06-01,207.0
1952-07-01,199.0
1952-08-01,191.0
1952-09-01,191.0
1952-10-01,184.0
1952-11-01,236.0
1952-12-01,316.0
1953-01-01,308.0
1953-02-01,242.0
1953-03-01,242.0
1953-04-01,216.0
1953-05-01,190.0
1953-06-01,184.0
1953-07-01,182.0
1953-08-01,178.0
1953-09-01,182.0
1953-10-01,212.0
1953-11-01,218.0
1953-12-01,276.0
1954-01-01,300.0
1954-02-01,328.0
1954-03-01,265.0
1954-04-01,331.0
1954-05-01,219.0
1954-06-01,200.0
1954-07-01,192.0
1954-08-01,186.0
1954-09-01,178.0
1954-10-01,171.0
1954-11-01,199.0
1954-12-01,253.0
1955-01-01,235.0
1955-02-01,284.0
1955-03-01,224.0
1955-04-01,255.0
1955-05-01,191.0
1955-06-01,168.0
1955-07-01,165.0
1955-08-01,160.0
1955-09-01,165.0
1955-10-01,185.0
1955-11-01,260.0
1955-12-01,324.0
1956-01-01,290.0
1956-02-01,247.0
1956-03-01,332.0
1956-04-01,259.0
1956-05-01,238.0
1956-06-01,202.0
1956-07-01,190.0
1956-08-01,182.0
1956-09-01,172.0
1956-10-01,182.0
1956-11-01,278.0
1956-12-01,330.0
1957-01-01,383.0
1957-02-01,325.0
1957-03-01,394.0
1957-04-01,416.0
1957-05-01,302.0
1957-06-01,256.0
1957-07-01,232.0
1957-08-01,210.0
1957-09-01,199.0
1957-10-01,221.0
1957-11-01,235.0
1957-12-01,286.0
1958-01-01,292.0
1958-02-01,421.0
1958-03-01,314.0
1958-04-01,315.0
1958-05-01,243.0
1958-06-01,219.0
1958-07-01,215.0
1958-08-01,209.0
1958-09-01,202.0
1958-10-01,218.0
1958-11-01,244.0
1958-12-01,261.0
1959-01-01,415.0
1959-02-01,312.0
1959-03-01,288.0
1959-04-01,232.0
1959-05-01,203.0
1959-06-01,197.0
1959-07-01,194.0
1959-08-01,188.0
1959-09-01,181.0
1959-10-01,202.0
1959-11-01,223.0
1959-12-01,235.0
1960-01-01,308.0
1960-02-01,383.0
1960-03-01,446.0
1960-04-01,378.0
1960-05-01,258.0
1960-06-01,223.0
1960-07-01,210.0
1960-08-01,199.0
1960-09-01,187.0
1960-10-01,185.0
1960-11-01,215.0
1960-12-01,285.0
1961-01-01,301.0
1961-02-01,313.0
1961-03-01,280.0
1961-04-01,224.0
1961-05-01,207.0
1961-06-01,186.0
1961-07-01,182.0
1961-08-01,179.0
1961-09-01,177.0
1961-10-01,175.0
1961-11-01,181.0
1961-12-01,233.0
1962-01-01,286.0
1962-02-01,277.0
1962-03-01,292.0
1962-04-01,243.0
1962-05-01,222.0
1962-06-01,196.0
